"job_id","job_title","company_name","job_country","job_location","job_schedule_type","salary_year_avg","salary_hour_avg","estimated_salary_year_avg","salary_rate","job_posted_date"
1449297,"InformationTechnology - Database Analyst 3","HireTalent","Canada","Canada","Full-time","","64.0","133120.0","hour","2023-06-01 10:43:16"
227446,"Data Scientist/Analyst","eTeam","Canada","Canada","Contractor","","57.5","119600.0","hour","2023-11-28 13:15:57"
214253,"Client Data Analyst (CDM&PR)","Mehra Wealth Management - CIBC Private Wealth","Canada","Anywhere","Full-time","","37.5","78000.0","hour","2023-12-28 17:33:26"
198616,"Data Analyst","Trans-Tach","Canada","Belleville, ON, Canada","Part-time","","35.0","72800.0","hour","2023-11-25 16:09:11"
616663,"Data Analyst","Trans-Tach","Canada","St Thomas, ON, Canada","Part-time","","35.0","72800.0","hour","2023-10-15 12:16:32"
590212,"Data Analyst","Trans-Tach","Canada","Fort St John, BC, Canada","Part-time","","34.0","70720.0","hour","2023-10-28 11:17:14"
573176,"Data Analyst","Trans-Tach","Canada","Victoria, BC, Canada","Part-time","","33.0","68640.0","hour","2023-08-12 19:10:54"
440096,"Financial Analyst Job Advertisement","Work Wise Careers/","Canada","Anywhere","Full-time","","26.0","54080.0","hour","2023-11-10 00:12:01"
62947,"Remote Data Analyst Job at Online Retailer - Apply Now!","Work Wise Careers/","Canada","Anywhere","Full-time","","26.0","54080.0","hour","2023-11-23 00:14:40"
44678,"Junior Data Analyst - Remote (Work from Home)","The Elite Job","Canada","Anywhere","Full-time and Part-time","","25.0","52000.0","hour","2023-11-29 00:13:42"
98162,"Full-time Data Entry Analyst – Entry level (Remote)","The Elite Job","Canada","Anywhere","Full-time and Part-time","","25.0","52000.0","hour","2023-12-01 00:13:30"
26978,"Online Data Analyst (Part-time WFH)","The Elite Job","Canada","Anywhere","Full-time and Part-time","","25.0","52000.0","hour","2023-12-09 00:11:59"
12559,"Business Analyst (Multiple Location)","Bell Canada","Canada","Anywhere","Full-time and Part-time","","25.0","52000.0","hour","2023-12-09 00:11:59"
228786,"Finance Data Analyst","Trans-Tach","Canada","Regina, SK, Canada","Part-time","","23.0","47840.0","hour","2023-07-18 09:35:11"
349325,"Data Analyst","Trans-Tach","Canada","Canada","Part-time","","22.0","45760.0","hour","2023-10-17 12:22:45"
242688,"Data Analyst","Trans-Tach","Canada","Calgary, AB, Canada","Part-time","","22.0","45760.0","hour","2023-05-08 10:18:44"
571763,"Systems Data Analyst","Trans-Tach","Canada","Kingston, ON, Canada","Part-time","","22.0","45760.0","hour","2023-08-23 10:20:05"
272308,"Junior Data Analyst","Trans-Tach","Canada","Edmonton, AB, Canada","Part-time","","20.0","41600.0","hour","2023-09-04 10:16:18"
